id,trigger,conditions,script,text,options,notes,
Meng_protectFleetGreeting1,OpenCommLink,$entity.Meng_protectFleet score:1000,,这支舰队漫无目的的游荡着，杀戮一切敢于接近他的敌人,cutCommLink:切断通讯连接,,
Meng_timeFleetGreeting1,OpenCommLink,$entity.Meng_timeFleet score:1000,,你试图建立通讯连接，但是警报突然响起，对方的武器系统已经开始充能。,cutCommLink:切断通讯连接,,
,,,,,,,
Meng_riverFleetGreeting1,OpenCommLink,$entity.Meng_riverFleet score:1000,,"通讯被接通了，另一头是一个阴冷的男声，""你也是他们派来截杀我的？真是无知啊，我已经窥探到了高维的秘密！准备拜倒在冥域之神的脚下吧。""",cutCommLink:切断通讯连接,,
,,,,,,,
Meng_Starship_1,OpenInteractionDialog,$id == Meng_StarshipMist score:1000,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""
FireBest AddMstarOptions",,,,
Meng_Starship_2,AddMstarOptions,!$Meng_explored,,你的随舰人员登上了这艘废弃舰船的舰桥，你在控制室里远远地眺望着，有什么东西藏在它破损的表面下闪着幽幽的蓝光。,"0:mstar_explore1:探索残骸
1:defaultLeave:离开",,
Meng_Starship_3,DialogOptionSelected,$option == mstar_explore1  ,,“阁下。”你的控制终端上传来了探测小队的声音，“我们已经探索了这艘船的大部分区域，它似乎是我们从未听说过的型号，它的设计...怎么说呢，大部分都是我们熟悉的部分，但是还有相当一部分完全超出了我们的理解，不，准确的说，这些设计就不应该存在。”,"mstar_explore2:继续
",,
Meng_Starship_4,DialogOptionSelected,$option == mstar_explore2,,“它的舰体上存在着大量冗余的设备，包括一些巨大的轨道设施，占据了舰船很大的空间，这是设计上不应该出现的失误，但是正是这些冗余的设备保存最为完好，似乎舰船的损毁根本影响不到这些部位。”你的部下继续报告着。,"mstar_explore3:继续
",,
Meng_Starship_5,DialogOptionSelected,$option == mstar_explore3,,又过了相当一段时间，探测小队再次发来了通讯，“阁下，我们顺着对那些冗余设备作用的推测探寻，果然发现了一些奇怪的东西...”你的部下声音停顿了一下，“它隐藏在舰船的中心，那些所有的设备都是围绕着它运作的。它似乎是一个...巨大的熔炉？”,"mstar_explore4:继续
",,
Meng_Starship_6,DialogOptionSelected,$option == mstar_explore4,,部下的声音有了一些颤抖，“阁下，检测指标出来了，这个熔炉在舰船坠毁后依然维持着最低的运作水平直至今日，它最低的运作水平产生的能源，已经超出了寻常战列舰能源输出最大水平的数倍。这太疯狂了，这样的能源输出根本就不应该存在于这么小的一个熔炉之内，这是星球级的能源！”,"mstar_explore5:继续
",,
Meng_Starship_7,DialogOptionSelected,$option == mstar_explore5,,这名随舰科学家如梦初醒，“对对对，必须要把它带走，这艘舰船也许是可以修复的，让我分析一下...”,"mstar_explore6:继续
",,
Meng_Starship_8,DialogOptionSelected,$option == mstar_explore6,,你满怀期待的在指挥室等待着，这时Meng向你发来了视频通讯请求。,"mstar_explore7:接受通话申请
mstar_refuse:拒绝申请",,
Meng_Starship_9,DialogOptionSelected,$option == mstar_explore7,,她也感到激动吗？是来向你询问进度的吧，你这样想着的时候，Meng却说出了非同你所想的话，“舰长大人，你是怎么...找到它的。”她的声音有些颤抖，你甚至从她的眼中看到了泪花？你立刻意识到在这背后应该还隐藏着更深层次的、你所不知道的东西。,"mstar_explore8:继续
",,
Meng_Starship_10,DialogOptionSelected,$option == mstar_explore8,,“这是学院最后的光辉...”Meng喃喃道，“我的一生都在逃避，没想到最终还能与它重逢，这就是命运的选择吗？...”,"mstar_explore9:继续
",,
Meng_Starship_13,DialogOptionSelected,$option == mstar_refuse,,你认为这样的时刻不允许打扰，于是没有接受请求。,"mstar_explore17:继续
",,
Meng_Starship_19,DialogOptionSelected,$option == mstar_explore9,$Meng_explored = true,在这时，探索小队再次发来了通话申请，“阁下，非常神奇，这艘船应该是已经被人为修复了一大部分，我们可以轻而易举的带走它了。”在你把询问的目光投向Meng之后，她开口说道，“您带走它吧，相信您能让远古学院的光辉重现于英仙座之中。”,"mstar_explore18:回收舰船
",,
Meng_Starship_20,AddMstarOptions,$Meng_explored,,这个废弃空间站空无一物，或许曾经有有价值的事物，但也早已被取走。,0:defaultLeave:离开,,
Meng_Starship_21,DialogOptionSelected,$option == mstar_explore17,$Meng_explored = true,在这时，探索小队再次发来了通话申请，“阁下，非常神奇，这艘船应该是已经被人为修复了一大部分，我们可以轻而易举的带走它了。”,"mstar_explore18:回收舰船
",,
Meng_Starship_22,DialogOptionSelected,$option == mstar_explore18,,你获得了 异宙龙级无畏舰,0:defaultLeave:离开,,
,,,,,,,
