name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
,,,,,,,,,,,,,,,,,,,
维度坍缩,Meng_phasepush_S,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage",相位,,TRUE,,,0,0,0,0,data.hullmods.Meng_phasepush_S,这艘舰船已经开始了不可逆的向高维坍缩的过程，至于在其之内的船员呢？也许是那些只剩下半个身体的躯壳，或者散落一地的器官......,相位时流,,graphics/Meng/hullmods/meng_phase_S.png
相位滑流,Meng_phasepush,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage",相位,,TRUE,,,4,8,15,25,data.hullmods.Meng_phasepush,疯狂的教徒毁灭了，我们无法理解他们的技术，但朝圣者向我们指出了新的思路，因此我们并非一无所获。,相位推动,,graphics/Meng/hullmods/meng_phase.png
倒转时钟,Meng_God_Timecontrol,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,FALSE,,,10,20,30,40,data.hullmods.Mengtime_S,沉睡的神掌控着时间轴的力量，其外泄的规则包含了无数时空的锚点，我们有节制的窃取一丝余韵，融入舰体后让飞船获得了不可思议的恩赐。,循环恢复,,graphics/Meng/hullmods/meng_time.png
时间锚点,Meng_God_Timecontrol_S,,,Embers-阶梯计划,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,FALSE,TRUE,,0,0,0,0,data.hullmods.Mengtime,"院长对我说过，""回到过去""看似能挽回诸多遗憾，但也可能会带来更多...我曾经逃避着这样的命运，直到后来我才终于明白，与其放任无数场故事在相同的遗憾中落幕，我选择在亲手造就的绝望之外寻求救赎。",时间诅咒,,graphics/Meng/hullmods/meng_time_S.png
神之庇佑,Meng_God_Protect,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage",防御,,FALSE,,,5,10,15,25,data.hullmods.Mengprotect,神的目光注视着他的信徒，在舰船发生过载的危险时，神的力量将会增强船体结构作为弥补。,过载回血,,graphics/Meng/hullmods/meng_protect.png
神降,Meng_God_Protect_S,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage",防御,,FALSE,TRUE,,0,0,0,0,data.hullmods.Mengprotect_S,狂热的信徒驾驶着舰船进入了神国，只走出了一群懂得驾驶飞船的行尸走肉。,过载回血,,graphics/Meng/hullmods/meng_protect_S.png
能质转换,Meng_God_MEC,,,虚想树,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,TRUE,,,5,10,20,30,data.hullmods.MengMEC,神在教条中刻下了真理，我们虽然无法理解，却可以加以机械化的运用，也从此打开了通往真正神明手段的大门。,幅能回复,,graphics/Meng/hullmods/meng_MEC.png
凝质,Meng_God_MEC_S,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,TRUE,,,0,0,0,0,data.hullmods.MengMEC_S,质量在舰船周身凝结，船员们如同琥珀被永久定格在凝聚的晶体中，没人知道操纵这艘舰船的到底是什么。,终极回复,,graphics/Meng/hullmods/meng_MEC_S.png
延展时空,Meng_God_Spec,,,神的遗留,"defensive,no_drop,no_sell,no_drop_salvage",特殊,,TRUE,,,5,10,15,25,data.hullmods.MengSpec,时间是最厚重的防御，在这位伪神的残躯之上，我们寻找到了一条崭新的道路，然而维度的鸿沟是如此的难以跨越....,减免伤害,,graphics/Meng/hullmods/meng_Spec.png
