name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,breakProb,minPieces,maxPieces,hints,tags,rarity,travel drive,number
异宙龙,Meng_Starkiller,四号神格,Embers-阶梯计划,Meng_Dragon_Wing,150,25000,2000,25000,30000,1400,320,,60,40,40,30,30,3500,OMNI,,120,0.3,0.8,,,20,440,1500,1000,10,30,8,4000000,3,10,800,0.25,80,80,0.6,3,5,"COMBAT,SHIP_WITH_MODULES",Meng_embers,,,4400.121
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牢中剑,Meng_Xufighter,虚想树,虚想树,,,1500,100,5000,5000,350,50,,160,300,250,180,360,30,NONE,,,,,,,2,2,,,,,,,,,,,,,0,,,UNBOARDABLE,,,,4400.11
树之牢,Meng_Xushu,虚想树,虚想树,Meng_tps,300,35000,7,40000,50000,2000,500,1,0,0,0,60,60,50000,PHASE,Meng_Xusystem,360,0.2,0.4,,,20,440,5000,1000,10,30,8,1500000,10,10,1800,0.5,90,90,0.6,3,5,"UNBOARDABLE,COMBAT,CARRIER",,,,4400
神性污染的军团,Meng_protect_boss2,污染者,,Meng_burndrive,35,18000,1650,12000,12500,500,260,4,30,15,15,6,6,3500,FRONT,,180,0.4,1.2,,,700,1500,300,300,15,20,7,1500000,3,12,720,0.25,45,45,0.4,2,4,"CARRIER, COMBAT, NO_AUTO_ESCORT",,,,4400.2
神性污染的攻势,Meng_protect_boss1,污染者,,Meng_burndrive,60,20000,1750,15000,17000,900,350,,25,10,10,4,4,3500,FRONT,,180,0.4,1.3,,,750,1500,300,400,15,27,7,1500000,3,12,720,0.25,60,60,0.4,2,4,,,,,4400.1
神性污染的统治者,Meng_protect_boss3,污染者,,Meng_burndrive,20,14000,1500,10000,10000,500,200,,30,20,10,12,12,2250,FRONT,,150,0.4,1.2,,,200,300,150,150,5,30,8,1500000,4,12,540,0.25,30,30,0.4,2,3,,,,,4400.3
无名,Meng_Noname,虚想树,虚想树,Meng_tps,300,35000,7,40000,50000,2000,500,,30,20,10,12,12,50000,PHASE,Meng_MBoss_Phase,360,0.2,0.4,,,20,440,5000,1000,10,30,8,1500000,10,10,1800,0.5,90,90,0.6,3,5,"UNBOARDABLE,COMBAT,CARRIER",,,,4400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时旅者,Meng_timeboss,三号神格,Embers-阶梯计划,Meng_Timesystem,300,18000,1400,25000,31250,1200,370,,30,15,15,9,9,3500,OMNI,,360,0.5,0.5,,,400,1000,300,300,10,30,7,1500000,4,20,640,0.25,100,100,0.4,2,4,,Meng_embers,,,4410.0
