name,id,flux/second,f/s (base rate),f/s (base cap),flux/use,f/u (base rate),f/u (base cap),cr/u,max uses,regen,charge up,active,down,cooldown,toggle,noDissipation,noHardDissipation,hardFlux,noFiring,noTurning,noStrafing,noAccel,noShield,noVent,isPhaseCloak,tags,icon
化蝶,Meng_MBoss_Phase,,,,,,,,,,0.5,,0.5,2,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,graphics/icons/hullsys/phase_cloak.png
星海之卡巴拉,Meng_MBosssystem,,,,,,,,,,2,50,1,30,,,,TRUE,,,,,,,,,
黄昏之翼,Meng_Dragon_Wing,,,,,,,,,,0.5,1,0.25,5,,,,,,,,,,,,,
能层阶跃,Meng_Kill_to_damage,1,,,,,,,3,0.15,0.25,5,0.25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
维度跃迁,Meng_tps,,,,,,,,,,1.5,,0.75,55,,,,TRUE,,,,,,,,,
时空画卷,Meng_Xusystem,,,,,,,,,,2,5,0,26,,,,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间规律重整,Meng_Timesystem,,,,,,,,,,0.2,8,2,30,,,,,,,,,,,,,
星轨坠落,Meng_Starfalling,,,,2000,,,,4,,21,,3,5,,,,TRUE,TRUE,,,,TRUE,TRUE,,,
污染者的哀嚎,Meng_burndrive,1,,,,,,,,,2,4,1,10,TRUE,,,,,,TRUE,TRUE,TRUE,,,,graphics/icons/hullsys/burn_drive.png
凭依/归尘,Meng_Dependent,,,,,,,,,,0.5,0.5,0.5,10,TRUE,,,,,,,,,,,,
空间撕裂,Meng_MingGod_Spacedamage,,,,2000,,,,3,0.2,0.5,,0.5,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
炉芯回流,Meng_fire_fluxtrans,,,,,,,,,,1,5,1,25,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
蛾化散流,Meng_fire_fluxtrans_wingsacc,1,,,,,,,,,1,10,1,25,TRUE,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
熄灯,Meng_fire_fluxtrans_attackcore,,,,,,,,2,0.015,1,5,1,2,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
助推回流,Meng_fire_fluxtrans_fuseacc,,,,,,,,,,1,10,1,45,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
不尽之律,Meng_fire_fluxtrans_endless,,,,,,,,,,1,10,1,25,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
能质天平,Meng_fire_fluxtrans_phase,,,,,,,,,,1,5,1,25,,,,,,,,,,,,,graphics/icons/hullsys/ammo_feeder.png
虚数潜航,Meng_fire_phasecoil,,,,,,,,,,1,10,2,10,TRUE,,,,,,,,,,TRUE,,graphics/icons/hullsys/phase_cloak.png
