id,type,text1,text2,text3,text4,notes
,,,,,,
,,,,,,
# WEAPONS,,,,,,
Meng_Zero,WEAPON,"""{'哈哈哈，那玩意动静可真大啊，但也只是动静大而已。'{——}随后那道光束从装甲的缝隙中穿透了他的舰体，这是我在这场战斗里见到的第一抹火光...见鬼，曾经我在交战中被抛出船舱，我以为那会是我对寒冷最深刻的印象了，但此刻在我的面前，一切的物质与规律都在逐渐冻结。""",- 随舰人员参与对Iss Xushu打捞时的交谈,,,
Meng_Reality,WEAPON,"""如果现实和虚无完全对立，那么区分它们的是什么？傲慢者撕碎遮掩真相的帷幕，在层层破碎的维度里，我听到了为罪人奏响的圣歌。""",- 于阿尔法研究站综合实验室中拼合的日志,,,
Meng_Cracking,WEAPON,作为圣殿通用武器类型β等级的设计，这门武器作为自动脉冲激光的改造版，舍弃了能量弹体的特性，在它面前，一切没有装甲保护，甚至是轻型装甲的舰体都将被轻易撕碎。,,,,
Meng_Gravity,WEAPON,作为圣殿通用武器类型γ等级的设计，对于近距离无防护目标的终结打击手段的研究产物。使用重引力技术压缩物质，而后以碎片形式发射，一切在它面前掉以轻心的敌人都将遭受重创。,,,,
Meng_Starproject,WEAPON,"""老伙计，你也许已经听说了，我们部门新研发的磁轨射弹项目被愚蠢的长老院评估为毫无价值。什么，你设计的那个超距磁场发生器也是这样？哦等等，该死的，我突然有了一个极好的主意，这或许能让我们的成果都不算白费...""",- 圣殿研究院Etna组长与Aster组长的对话,,,
Meng_Xweapon,WEAPON,从另一个世界流落来的技术，据说这件武器曾无数次成为那里上千个星系的最后希望，可以在敌人接近前便对其造成巨大的战损，创造了无数的奇迹，或者说，它本身就代表了传奇。,,,,
Meng_Kongjianweapon,WEAPON,"""我能感觉到离它越来越近了，就是这样...审判之日即将到来，固步自封者必会臣服于神的伟力——绝对无法逃脱。""",- 在冥域之神级残骸中提取到的日志,,,
Meng_Starbeam,WEAPON,以群星为引，划你命定之局。,-,,,
Meng_Starbeam_m,WEAPON,引导星核熔炉部分力量发射的高能光束，其附带的强作用力可以将目标钉死在原地。,,,,
Meng_protectshipweapon1,WEAPON,神性污染最集中的源头，将神性的力量集中于一点，船体裂变并发射致命的光束。,,,,
Meng_tpc,WEAPON,被神性污染的热脉冲加农炮，伤害降低但可以瘫痪敌方武器。,,,,
Meng_Dragonfire,WEAPON,传说中，巨龙喷吐的龙息是最致命的武器，长老们将这个传说完美复现。你或许会觉得这门武器的破坏性只称得上是龙的呼吸，但在异宙龙充盈龙力时，这门武器将会引导出它全部的愤怒，将面前的一切都焚烧至虚无。,- 圣殿研究日志,,,
Meng_DragonbiuL,WEAPON,在龙的鳞甲之下，隐藏着来自深渊的凝视，代表着纷争，以及一片地域的荒芜。,,,,
Meng_DragonbiuR,WEAPON,在龙的鳞甲之下，隐藏着来自深渊的凝视，代表着纷争，以及一片地域的荒芜。,,,,
Meng_clockbuilder,WEAPON,时旅者级核心集成的武器，采用高强度架构闭锁着传说中的时间锚点，初代研究者将其命名为“噬时之瓶”。它可以源源不断的存储舰船的“时间”这一概念，并在必要的时刻释放这些从第四维度中夺取的叠加状态，让舰船融入其中一点——从而回到过去。,,,,
