trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
trail_meng_cracking,Meng_Crackingproj,Meng_trail_highlight,5,0,0.03,0.15,10,3,"[255,255,255]","[147,139,255]",1.0,256,256,,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
trail_meng_dragon_core,Meng_dragonfire,base_trail_zap,5,0.1,0.1,1.2,40,20,"[0,255,150]","[0,255,180]",0.6,500,250,,70,0,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,false,false
trail_meng_dragon_front,Meng_dragonfire,base_trail_weave,5,0.1,0.1,1,40,15,"[0,200,255]","[0,200,255]",0.5,500,250,,70,0,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,false,false
trail_meng_dragonbiu_front,Meng_Dragonbiuproj,base_trail_zap,10,0,0.1,0.2,20,7,"[150,250,238]","[100,100,100]",0.6,256,128,,5,0,1,TRUE,FALSE,TRUE,8,28,0.2,0,40,60,true,false
trail_meng_dragonbiu_core,Meng_Dragonbiuproj,base_trail_smoke,10,0,0.15,0.15,20,8,"[150,250,238]","[100,100,100]",0.5,300,64,,8,0,1,TRUE,FALSE,TRUE,10,35,0.3,0,50,75,true,false
Meng_SpeaceLockerPorj_shot_zap,Meng_SpeaceLockerPorj,base_trail_smooth,5,0,0,0.4,30,8,"[200,15,40]","[0,0,255]",0.65,300,64,true,10,0,0,TRUE,TRUE,TRUE,20,30,0.4,0,0,150,true,false
Meng_SpeaceLockerPorj_shot_sm1,Meng_SpeaceLockerPorj,base_trail_smooth,5,0,0,0.4,10,4,"[170,15,40]","[0,50,255]",0.4,300,64,true,10,100,0,TRUE,TRUE,TRUE,20,40,0.4,0,0,150,true,false
Meng_SpeaceLockerPorj_shot_sm2,Meng_SpeaceLockerPorj,base_trail_smooth,5,0,0,0.4,10,4,"[170,15,40]","[0,50,255]",0.85,300,64,true,10,50,0,TRUE,TRUE,TRUE,20,40,0.4,0,0,150,true,false
trail_meng_firefly,Meng_firefly_proj,base_trail_smooth,5,0,0.1,0.2,10,0,"[255,255,255]","[255,255,255]",0.6,256,128,,7,0,1,TRUE,FALSE,TRUE,8,28,0.2,0,40,60,true,false
trail_meng_firefly_front,Meng_firefly_proj,base_trail_zap,5,0,0.15,0.15,15,0,"[255,0,0]","[255,0,0]",0.5,300,64,,7,0,1,TRUE,FALSE,TRUE,10,35,0.3,0,50,75,true,false
trail_Meng_Stargauss_shot,Meng_Stargauss_shot,base_trail_smooth,5,0,0,0.4,6,2,"[121,98,255]","[0,0,255]",0.5,300,64,true,10,0,0,TRUE,TRUE,TRUE,20,30,0.4,0,0,150,true,false
trail_Meng_sunder_shot,Meng_fire_sunder_shot,base_trail_smooth,5,0,0,0.25,25,10,"[250,40,40]","[0,0,255]",0.7,300,64,true,10,0,0,TRUE,TRUE,TRUE,20,30,0.4,0,0,150,true,false
trail_Meng_sunder_1,Meng_fire_sunder_shot,base_trail_smooth,5,0,0.1,0.35,10,0,"[250,40,40]","[255,255,255]",0.6,256,128,,7,0,1,TRUE,FALSE,TRUE,8,28,0.2,0,40,60,true,false
trail_Meng_sunder_2,Meng_fire_sunder_shot,base_trail_zap,5,0,0.15,0.4,15,0,"[250,40,40]","[255,0,0]",0.5,300,64,,7,0,1,TRUE,FALSE,TRUE,10,35,0.3,0,50,75,true,false
Meng_Smartgun_shot_1,Meng_Smartgun_shot,base_trail_smooth,5,0,0,0.2,16,1,"[252,179,17]","[255,225,171]",1.0,300,64,true,8,0,0,TRUE,FALSE,TRUE,20,30,0.4,0,0,150,true,false
Meng_Smartgun_shot_2,Meng_Smartgun_shot,base_trail_zap,5,0,0.15,0.15,16,0,"[252,179,17]","[255,0,0]",0.8,300,64,,7,0,1,TRUE,FALSE,TRUE,10,35,0.3,0,50,75,true,false
Meng_Spectrum_shot_1,Meng_Spectrum_proj,base_trail_smooth,5,0,0,0.15,7,1,"[255,255,255]","[250,40,40]",1.0,300,64,true,8,0,0,TRUE,FALSE,TRUE,20,30,0.4,0,0,150,true,false
Meng_Spectrum_shot_2,Meng_Spectrum_proj,base_trail_zap,5,0,0.1,0.1,7,0,"[252,179,17]","[255,0,0]",0.8,300,64,,7,0,1,TRUE,FALSE,TRUE,10,35,0.3,0,50,75,true,false
Meng_fire_spike_proj_1,Meng_fire_spike_proj,base_trail_smooth,5,0,0.1,0.4,12,1,"[255,50,50]","[255,255,255]",1.0,300,64,true,8,0,0,TRUE,TRUE,TRUE,20,30,0.4,0,0,150,true,false
Meng_fire_spike_proj_2,Meng_fire_spike_proj,base_trail_zap,5,0,0.05,0.35,10,0,"[255,50,50]","[255,255,255]",0.8,300,64,,7,0,1,TRUE,FALSE,TRUE,10,35,0.3,0,50,75,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
