name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
零之熵,Meng_Zero,3,,20000,1200,1500,,300,0,7,40,,,,ENERGY,0,800,1.0,1,3,10,0,0,0,0,2000,,,,,,,DANGEROUS,"restricted,no_drop,meng_xutree",,虚想树,,船体破坏,极快,,,,当舰船结构值高于}%s}时，武器切换攻击特效，光束本体伤害归零，光束所到之处将会冻结宇宙空间，生成}%s}次裂隙爆炸，每次爆炸造成}%s}点能量伤害。武器发射时将会汲取舰船的物质，每次发射舰船结构降低}%s}。,20% |200 | 150| 3000,,,,511.1
归零黑洞,Meng_Zerolayer,3,,2000000,,,150,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,"restricted,no_drop,meng_xutree",,虚想树,,,,,,,,,,,,
归零者,Meng_Reality,3,,250000,1200,,100,100,10,5,35,,,,ENERGY,4000,,1,12,,,,,,,,450,0,100,3000,,,DANGEROUS,"restricted,no_drop,meng_xutree",,虚想树,,压制,,,,,投射物无碰撞判定，将穿过一切物体。舰船结构高于{%s{时，武器每次发射降低{%s{舰船结构，投射物将不断产生连锁电弧，在{%s{范围内的目标之间弹射，每次对单个目标造成至多{%s{点高爆伤害，共计造成至多{%s{点高爆伤害。否则，将只不断产生常规电弧。,30% |1500 |600su |300 |1500  ,,,TRUE,511.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
透明装饰,Meng_cover,0,,100000,1000,,200,100,0,0,,30,1.5,,ENERGY,120,,0,0.2,1,,0,10,2,5,,1000,0,10,100000,,,SYSTEM,"restricted,no_drop",,神的遗留,,普通,,,,,,,,,,512.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
